Name,Experience_Years,Skills,Education,Applied_Job_Role
Candidate_92,13,"AWS, DevOps",M.Tech,Data Scientist
Candidate_93,3,"AWS, DevOps",B.Tech in CS,Product Manager
Candidate_94,6,"Node.js, MongoDB",M.Tech,Frontend Developer
Candidate_95,4,"Java, Spring",B.Com,Product Manager
Candidate_96,11,"Node.js, MongoDB",MBA,Frontend Developer
Candidate_97,11,"R, Statistics",B.Tech in CS,Frontend Developer
Candidate_98,1,"Excel, Admin",B.Com,Data Analyst
Candidate_99,13,"C++, IoT",MCA,Data Analyst
Candidate_100,3,"Node.js, MongoDB",B.Tech in CS,Data Scientist
Candidate_101,3,"C++, IoT",MCA,Virtual Assistant
Candidate_102,3,"AWS, DevOps",MBA,Embedded Engineer
Candidate_103,10,"C++, IoT",B.Sc in IT,Product Manager
Candidate_104,2,"PHP, Laravel",B.Sc in IT,Data Analyst
Candidate_105,1,"JavaScript, React",BCA,Data Analyst
Candidate_106,13,"JavaScript, React",M.Tech,Virtual Assistant
Candidate_107,9,"Excel, Admin",MCA,Product Manager
Candidate_108,6,"AWS, DevOps",B.Tech in CS,Virtual Assistant
Candidate_109,6,"Java, Spring",B.Com,Frontend Developer
Candidate_110,12,"Python, SQL, ML",MBA,Product Manager
Candidate_111,3,"PHP, Laravel",B.Sc in IT,Data Analyst
Candidate_112,11,"PHP, Laravel",BCA,Product Manager
Candidate_113,2,"Excel, Admin",MCA,Frontend Developer
Candidate_114,5,"AWS, DevOps",B.Com,DevOps Engineer
Candidate_115,9,"Excel, Admin",Diploma in CS,Frontend Developer
Candidate_116,2,"Excel, Admin",M.Tech,Data Analyst
Candidate_117,13,"Excel, Admin",MCA,Virtual Assistant
Candidate_118,3,"Python, SQL, ML",MBA,Embedded Engineer
Candidate_119,12,"Node.js, MongoDB",B.Sc in IT,Virtual Assistant
Candidate_120,1,"Angular, TypeScript",MBA,Backend Developer
Candidate_121,14,"AWS, DevOps",B.Sc in IT,Backend Developer
Candidate_122,2,"PHP, Laravel",B.Tech in CS,Virtual Assistant
Candidate_123,10,"R, Statistics",MCA,Virtual Assistant
Candidate_124,2,"Node.js, MongoDB",B.Tech in CS,Data Analyst
Candidate_125,13,"Excel, Admin",B.Sc in IT,Virtual Assistant
Candidate_126,2,"JavaScript, React",B.Com,Product Manager
Candidate_127,8,"AWS, DevOps",BCA,Data Analyst
Candidate_128,4,"AWS, DevOps",B.Com,Data Analyst
Candidate_129,14,"PHP, Laravel",MCA,DevOps Engineer
Candidate_130,10,"Angular, TypeScript",Diploma in CS,Embedded Engineer
Candidate_131,7,"PHP, Laravel",B.Tech in CS,Embedded Engineer
Candidate_132,13,"JavaScript, React",B.Com,Product Manager
Candidate_133,6,"Node.js, MongoDB",MCA,Embedded Engineer
Candidate_134,15,"Python, SQL, ML",Diploma in CS,Embedded Engineer
Candidate_135,12,"Node.js, MongoDB",MBA,DevOps Engineer
Candidate_136,7,"Java, Spring",B.Sc in IT,Frontend Developer
Candidate_137,5,"JavaScript, React",M.Tech,Frontend Developer
Candidate_138,3,"Excel, Admin",BCA,Embedded Engineer
Candidate_139,12,"C++, IoT",BCA,Frontend Developer
Candidate_140,9,"PHP, Laravel",B.Tech in CS,Product Manager
Candidate_141,13,"AWS, DevOps",B.Tech in CS,Product Manager
Candidate_142,4,"C++, IoT",B.Sc in IT,Backend Developer
Candidate_143,6,"Python, SQL, ML",MCA,Embedded Engineer
Candidate_144,5,"Excel, Admin",B.Tech in CS,Backend Developer
Candidate_145,10,"AWS, DevOps",MCA,Embedded Engineer
Candidate_146,10,"Java, Spring",MCA,Product Manager
Candidate_147,7,"JavaScript, React",B.Tech in CS,Data Scientist
Candidate_148,15,"Excel, Admin",B.Tech in CS,Data Scientist
Candidate_149,13,"Node.js, MongoDB",B.Tech in CS,Frontend Developer
Candidate_150,3,"AWS, DevOps",B.Sc in IT,Embedded Engineer
Candidate_151,14,"Java, Spring",BCA,Frontend Developer
Candidate_152,3,"AWS, DevOps",MCA,DevOps Engineer
Candidate_153,7,"R, Statistics",MCA,Embedded Engineer
Candidate_154,0,"JavaScript, React",Diploma in CS,Product Manager
Candidate_155,9,"Python, SQL, ML",B.Sc in IT,Data Analyst
Candidate_156,14,"PHP, Laravel",BCA,Backend Developer
Candidate_157,9,"AWS, DevOps",B.Sc in IT,Product Manager
Candidate_158,7,"C++, IoT",MCA,Backend Developer
Candidate_159,8,"Java, Spring",BCA,Product Manager
Candidate_160,11,"Angular, TypeScript",M.Tech,Backend Developer
Candidate_161,13,"Excel, Admin",M.Tech,Frontend Developer
Candidate_162,8,"Java, Spring",MBA,Virtual Assistant
Candidate_163,5,"Angular, TypeScript",MCA,Frontend Developer
Candidate_164,14,"PHP, Laravel",M.Tech,Virtual Assistant
Candidate_165,11,"Python, SQL, ML",Diploma in CS,Data Analyst
Candidate_166,13,"PHP, Laravel",B.Com,Frontend Developer
Candidate_167,11,"Angular, TypeScript",B.Sc in IT,Embedded Engineer
Candidate_168,1,"AWS, DevOps",BCA,Data Analyst
Candidate_169,5,"R, Statistics",B.Sc in IT,Backend Developer
Candidate_170,9,"Java, Spring",M.Tech,Frontend Developer
Candidate_171,14,"AWS, DevOps",M.Tech,Virtual Assistant
Candidate_172,11,"R, Statistics",M.Tech,Data Analyst
Candidate_173,0,"Node.js, MongoDB",B.Tech in CS,Product Manager
Candidate_174,9,"Excel, Admin",MBA,Virtual Assistant
Candidate_175,1,"Python, SQL, ML",Diploma in CS,DevOps Engineer
Candidate_176,1,"C++, IoT",BCA,Backend Developer
Candidate_177,2,"JavaScript, React",Diploma in CS,Frontend Developer
Candidate_178,14,"Python, SQL, ML",B.Sc in IT,Data Analyst
Candidate_179,15,"PHP, Laravel",B.Tech in CS,Frontend Developer
Candidate_180,12,"R, Statistics",M.Tech,Backend Developer
Candidate_181,11,"Node.js, MongoDB",B.Tech in CS,Product Manager
Candidate_182,15,"R, Statistics",Diploma in CS,Frontend Developer
Candidate_183,11,"Python, SQL, ML",M.Tech,Virtual Assistant
Candidate_184,2,"C++, IoT",MCA,DevOps Engineer
Candidate_185,9,"Java, Spring",Diploma in CS,DevOps Engineer
Candidate_186,15,"AWS, DevOps",B.Tech in CS,Data Scientist
Candidate_187,0,"Java, Spring",B.Tech in CS,Embedded Engineer
Candidate_188,1,"Angular, TypeScript",Diploma in CS,DevOps Engineer
Candidate_189,1,"JavaScript, React",B.Com,Virtual Assistant
Candidate_190,2,"PHP, Laravel",BCA,Data Analyst
Candidate_191,1,"Python, SQL, ML",BCA,Frontend Developer
Candidate_192,8,"R, Statistics",MBA,Product Manager
Candidate_193,7,"Java, Spring",B.Com,Data Analyst
Candidate_194,13,"R, Statistics",BCA,Backend Developer
Candidate_195,13,"Angular, TypeScript",MBA,Frontend Developer
Candidate_196,9,"Node.js, MongoDB",BCA,Frontend Developer
Candidate_197,3,"Node.js, MongoDB",M.Tech,Product Manager
Candidate_198,2,"Java, Spring",BCA,Embedded Engineer
Candidate_199,15,"Python, SQL, ML",MCA,Virtual Assistant
Candidate_200,14,"R, Statistics",B.Sc in IT,DevOps Engineer
Candidate_201,2,"AWS, DevOps",B.Tech in CS,Data Scientist
Candidate_202,9,"PHP, Laravel",B.Tech in CS,Frontend Developer
Candidate_203,7,"Java, Spring",B.Sc in IT,Backend Developer
Candidate_204,11,"JavaScript, React",B.Sc in IT,Data Analyst
Candidate_205,7,"PHP, Laravel",B.Com,DevOps Engineer
Candidate_206,3,"Python, SQL, ML",BCA,Data Analyst
Candidate_207,10,"Excel, Admin",MCA,Embedded Engineer
Candidate_208,14,"Node.js, MongoDB",BCA,Virtual Assistant
Candidate_209,9,"Angular, TypeScript",B.Sc in IT,Data Scientist
Candidate_210,5,"Python, SQL, ML",B.Sc in IT,Embedded Engineer
Candidate_211,10,"Node.js, MongoDB",M.Tech,Frontend Developer
Candidate_212,4,"Excel, Admin",M.Tech,Embedded Engineer
Candidate_213,3,"C++, IoT",B.Sc in IT,Virtual Assistant
Candidate_214,4,"Excel, Admin",MCA,Product Manager
Candidate_215,10,"Angular, TypeScript",MCA,Data Scientist
Candidate_216,6,"JavaScript, React",M.Tech,Product Manager
Candidate_217,8,"JavaScript, React",M.Tech,Embedded Engineer
Candidate_218,0,"AWS, DevOps",Diploma in CS,Embedded Engineer
Candidate_219,7,"Node.js, MongoDB",B.Com,Backend Developer
Candidate_220,12,"JavaScript, React",M.Tech,Backend Developer
Candidate_221,13,"AWS, DevOps",B.Com,Backend Developer
Candidate_222,15,"Angular, TypeScript",MBA,Data Scientist
Candidate_223,1,"JavaScript, React",MBA,Data Scientist
Candidate_224,1,"PHP, Laravel",B.Com,Data Analyst
Candidate_225,13,"AWS, DevOps",MBA,DevOps Engineer
Candidate_226,15,"AWS, DevOps",B.Tech in CS,Backend Developer
Candidate_227,7,"C++, IoT",MCA,Backend Developer
Candidate_228,12,"Python, SQL, ML",MBA,DevOps Engineer
Candidate_229,8,"Python, SQL, ML",M.Tech,Embedded Engineer
Candidate_230,13,"Angular, TypeScript",BCA,Product Manager
Candidate_231,14,"Angular, TypeScript",B.Tech in CS,Backend Developer
Candidate_232,0,"Angular, TypeScript",MCA,Data Scientist
Candidate_233,9,"R, Statistics",B.Com,Backend Developer
Candidate_234,14,"Node.js, MongoDB",Diploma in CS,Frontend Developer
Candidate_235,5,"R, Statistics",BCA,Virtual Assistant
Candidate_236,12,"Node.js, MongoDB",B.Sc in IT,Data Analyst
Candidate_237,15,"Angular, TypeScript",MBA,Embedded Engineer
Candidate_238,13,"R, Statistics",MCA,Data Analyst
Candidate_239,14,"R, Statistics",MBA,Embedded Engineer
Candidate_240,2,"C++, IoT",BCA,Embedded Engineer
Candidate_241,11,"R, Statistics",Diploma in CS,Virtual Assistant
Candidate_242,14,"Java, Spring",Diploma in CS,Virtual Assistant
Candidate_243,15,"R, Statistics",BCA,DevOps Engineer
Candidate_244,4,"R, Statistics",B.Sc in IT,Data Analyst
Candidate_245,7,"AWS, DevOps",MBA,Virtual Assistant
Candidate_246,5,"Java, Spring",M.Tech,Frontend Developer
Candidate_247,7,"R, Statistics",M.Tech,Embedded Engineer
Candidate_248,5,"Node.js, MongoDB",MCA,Product Manager
Candidate_249,13,"Python, SQL, ML",MBA,Product Manager
Candidate_250,2,"JavaScript, React",Diploma in CS,Frontend Developer
Candidate_251,5,"JavaScript, React",MCA,Embedded Engineer
Candidate_252,6,"R, Statistics",Diploma in CS,Embedded Engineer
Candidate_253,1,"AWS, DevOps",B.Sc in IT,Embedded Engineer
Candidate_254,6,"AWS, DevOps",MCA,Virtual Assistant
Candidate_255,9,"JavaScript, React",B.Com,DevOps Engineer
Candidate_256,8,"Java, Spring",M.Tech,Embedded Engineer
Candidate_257,1,"C++, IoT",Diploma in CS,Backend Developer
Candidate_258,13,"Angular, TypeScript",B.Sc in IT,DevOps Engineer
Candidate_259,6,"JavaScript, React",B.Tech in CS,Backend Developer
Candidate_260,11,"Node.js, MongoDB",MCA,Data Scientist
Candidate_261,13,"R, Statistics",M.Tech,Backend Developer
Candidate_262,7,"JavaScript, React",B.Sc in IT,Virtual Assistant
Candidate_263,1,"PHP, Laravel",M.Tech,Data Scientist
Candidate_264,4,"Java, Spring",BCA,Backend Developer
Candidate_265,15,"AWS, DevOps",MCA,DevOps Engineer
Candidate_266,15,"Python, SQL, ML",MCA,Data Analyst
Candidate_267,11,"PHP, Laravel",B.Sc in IT,Virtual Assistant
Candidate_268,12,"AWS, DevOps",B.Com,Backend Developer
Candidate_269,10,"C++, IoT",MCA,Virtual Assistant
Candidate_270,5,"AWS, DevOps",MBA,DevOps Engineer
Candidate_271,12,"JavaScript, React",M.Tech,Product Manager
Candidate_272,13,"Excel, Admin",B.Tech in CS,Embedded Engineer
Candidate_273,6,"Python, SQL, ML",MBA,Product Manager
Candidate_274,4,"Angular, TypeScript",Diploma in CS,Data Analyst
Candidate_275,3,"C++, IoT",M.Tech,Product Manager
Candidate_276,13,"R, Statistics",M.Tech,Virtual Assistant
Candidate_277,9,"Excel, Admin",BCA,Backend Developer
Candidate_278,13,"R, Statistics",B.Sc in IT,Embedded Engineer
Candidate_279,13,"PHP, Laravel",Diploma in CS,Virtual Assistant
Candidate_280,4,"PHP, Laravel",B.Com,Virtual Assistant
Candidate_281,4,"Node.js, MongoDB",BCA,Backend Developer
Candidate_282,7,"JavaScript, React",MCA,Virtual Assistant
Candidate_283,9,"C++, IoT",MCA,Data Analyst
Candidate_284,15,"Angular, TypeScript",B.Tech in CS,Virtual Assistant
Candidate_285,1,"Python, SQL, ML",MBA,Frontend Developer
Candidate_286,9,"AWS, DevOps",B.Com,Backend Developer
Candidate_287,15,"C++, IoT",MCA,Data Analyst
Candidate_288,11,"Java, Spring",B.Sc in IT,Embedded Engineer
Candidate_289,3,"Java, Spring",MCA,Product Manager
Candidate_290,15,"AWS, DevOps",MBA,Virtual Assistant
Candidate_291,7,"Angular, TypeScript",M.Tech,Frontend Developer
Candidate_292,4,"Node.js, MongoDB",MBA,Embedded Engineer
Candidate_293,12,"Node.js, MongoDB",B.Sc in IT,Embedded Engineer
Candidate_294,12,"AWS, DevOps",MCA,Frontend Developer
Candidate_295,11,"Java, Spring",B.Sc in IT,Data Analyst
Candidate_296,10,"Node.js, MongoDB",MCA,Backend Developer
Candidate_297,2,"Java, Spring",MCA,DevOps Engineer
Candidate_298,14,"JavaScript, React",BCA,Embedded Engineer
Candidate_299,3,"Java, Spring",BCA,Data Scientist
Candidate_300,8,"Angular, TypeScript",M.Tech,Product Manager
Candidate_301,14,"PHP, Laravel",BCA,Virtual Assistant
Candidate_302,8,"PHP, Laravel",B.Sc in IT,Virtual Assistant
Candidate_303,15,"AWS, DevOps",M.Tech,Frontend Developer
Candidate_304,10,"Python, SQL, ML",Diploma in CS,Embedded Engineer
Candidate_305,11,"Python, SQL, ML",MBA,Data Scientist
Candidate_306,4,"PHP, Laravel",BCA,Data Analyst
Candidate_307,8,"AWS, DevOps",MCA,Frontend Developer
Candidate_308,11,"C++, IoT",B.Tech in CS,Data Analyst
Candidate_309,4,"R, Statistics",B.Com,Data Analyst
Candidate_310,15,"R, Statistics",MCA,Data Scientist
Candidate_311,10,"AWS, DevOps",M.Tech,Virtual Assistant
Candidate_312,12,"Angular, TypeScript",BCA,Product Manager
Candidate_313,8,"AWS, DevOps",MCA,Data Analyst
Candidate_314,6,"JavaScript, React",M.Tech,Virtual Assistant
Candidate_315,2,"R, Statistics",B.Com,DevOps Engineer
Candidate_316,11,"Java, Spring",M.Tech,Data Analyst
Candidate_317,7,"Excel, Admin",MBA,Virtual Assistant
Candidate_318,11,"AWS, DevOps",B.Sc in IT,Virtual Assistant
Candidate_319,2,"Node.js, MongoDB",B.Com,Backend Developer
Candidate_320,8,"Java, Spring",M.Tech,Data Scientist
Candidate_321,14,"R, Statistics",B.Tech in CS,Backend Developer
Candidate_322,11,"JavaScript, React",BCA,Data Analyst
Candidate_323,13,"PHP, Laravel",Diploma in CS,Product Manager
Candidate_324,1,"Node.js, MongoDB",M.Tech,Virtual Assistant
Candidate_325,1,"Java, Spring",MCA,DevOps Engineer
Candidate_326,3,"Node.js, MongoDB",B.Sc in IT,Backend Developer
Candidate_327,14,"Python, SQL, ML",Diploma in CS,Data Scientist
Candidate_328,9,"AWS, DevOps",B.Com,Data Analyst
Candidate_329,8,"AWS, DevOps",Diploma in CS,Frontend Developer
Candidate_330,15,"C++, IoT",BCA,Product Manager
Candidate_331,12,"Angular, TypeScript",Diploma in CS,Data Scientist
Candidate_332,7,"Node.js, MongoDB",BCA,Backend Developer
Candidate_333,6,"Angular, TypeScript",B.Com,Backend Developer
Candidate_334,11,"Python, SQL, ML",B.Sc in IT,Backend Developer
Candidate_335,9,"Python, SQL, ML",B.Sc in IT,Backend Developer
Candidate_336,5,"Java, Spring",B.Tech in CS,Data Scientist
Candidate_337,5,"JavaScript, React",MBA,Embedded Engineer
Candidate_338,10,"PHP, Laravel",B.Sc in IT,Data Scientist
Candidate_339,12,"Java, Spring",M.Tech,Backend Developer
Candidate_340,13,"PHP, Laravel",B.Sc in IT,DevOps Engineer
Candidate_341,12,"Python, SQL, ML",M.Tech,Virtual Assistant
Candidate_342,2,"Java, Spring",B.Sc in IT,Frontend Developer
Candidate_343,7,"Java, Spring",B.Com,Frontend Developer
Candidate_344,2,"Node.js, MongoDB",Diploma in CS,Data Scientist
Candidate_345,9,"AWS, DevOps",M.Tech,Frontend Developer
Candidate_346,12,"PHP, Laravel",M.Tech,Data Scientist
Candidate_347,10,"PHP, Laravel",M.Tech,Data Scientist
Candidate_348,8,"AWS, DevOps",Diploma in CS,DevOps Engineer
Candidate_349,10,"JavaScript, React",B.Tech in CS,Data Scientist
Candidate_350,4,"Excel, Admin",BCA,Frontend Developer
Candidate_351,6,"AWS, DevOps",Diploma in CS,Backend Developer
Candidate_352,0,"C++, IoT",BCA,Backend Developer
Candidate_353,5,"AWS, DevOps",M.Tech,Data Scientist
Candidate_354,1,"AWS, DevOps",M.Tech,Embedded Engineer
Candidate_355,10,"PHP, Laravel",BCA,Data Scientist
Candidate_356,11,"C++, IoT",B.Tech in CS,Embedded Engineer
Candidate_357,13,"C++, IoT",Diploma in CS,Embedded Engineer
Candidate_358,6,"PHP, Laravel",BCA,Frontend Developer
Candidate_359,4,"Angular, TypeScript",MBA,Data Analyst
Candidate_360,13,"Java, Spring",BCA,Frontend Developer
Candidate_361,0,"Node.js, MongoDB",M.Tech,Data Scientist
Candidate_362,9,"Angular, TypeScript",M.Tech,DevOps Engineer
Candidate_363,7,"PHP, Laravel",MCA,Product Manager
Candidate_364,5,"Excel, Admin",Diploma in CS,Data Scientist
Candidate_365,10,"Excel, Admin",B.Tech in CS,DevOps Engineer
Candidate_366,15,"C++, IoT",Diploma in CS,Frontend Developer
Candidate_367,0,"PHP, Laravel",B.Com,Data Analyst
Candidate_368,0,"PHP, Laravel",B.Sc in IT,Backend Developer
Candidate_369,4,"Angular, TypeScript",B.Tech in CS,DevOps Engineer
Candidate_370,9,"Node.js, MongoDB",B.Sc in IT,Product Manager
Candidate_371,2,"Python, SQL, ML",MBA,Virtual Assistant
Candidate_372,0,"Excel, Admin",B.Sc in IT,Product Manager
Candidate_373,8,"AWS, DevOps",M.Tech,DevOps Engineer
Candidate_374,4,"JavaScript, React",BCA,Data Analyst
Candidate_375,5,"R, Statistics",MCA,Data Scientist
Candidate_376,10,"C++, IoT",B.Tech in CS,Product Manager
Candidate_377,7,"R, Statistics",M.Tech,Virtual Assistant
Candidate_378,4,"Angular, TypeScript",Diploma in CS,Product Manager
Candidate_379,10,"Excel, Admin",Diploma in CS,Backend Developer
Candidate_380,13,"Python, SQL, ML",MBA,Product Manager
Candidate_381,2,"R, Statistics",B.Sc in IT,Embedded Engineer
Candidate_382,7,"C++, IoT",BCA,DevOps Engineer
Candidate_383,14,"Node.js, MongoDB",BCA,Embedded Engineer
Candidate_384,6,"Angular, TypeScript",B.Tech in CS,Frontend Developer
Candidate_385,0,"Java, Spring",B.Tech in CS,Virtual Assistant
Candidate_386,7,"Excel, Admin",BCA,DevOps Engineer
Candidate_387,13,"PHP, Laravel",B.Sc in IT,Virtual Assistant
Candidate_388,3,"C++, IoT",MBA,Embedded Engineer
Candidate_389,10,"Excel, Admin",B.Tech in CS,Frontend Developer
Candidate_390,5,"Python, SQL, ML",BCA,Data Analyst
Candidate_391,14,"R, Statistics",MCA,Frontend Developer
Candidate_392,15,"C++, IoT",MCA,Backend Developer
Candidate_393,9,"Angular, TypeScript",B.Com,Frontend Developer
Candidate_394,2,"PHP, Laravel",B.Com,Embedded Engineer
Candidate_395,6,"C++, IoT",BCA,Backend Developer
Candidate_396,6,"Excel, Admin",B.Tech in CS,Embedded Engineer
Candidate_397,2,"R, Statistics",B.Tech in CS,Embedded Engineer
Candidate_398,8,"Node.js, MongoDB",M.Tech,Frontend Developer
Candidate_399,13,"Excel, Admin",MCA,Backend Developer
Candidate_400,14,"R, Statistics",Diploma in CS,Data Analyst
Candidate_401,2,"AWS, DevOps",B.Com,Virtual Assistant
Candidate_402,11,"Excel, Admin",B.Com,Backend Developer
Candidate_403,7,"C++, IoT",BCA,DevOps Engineer
Candidate_404,6,"Excel, Admin",B.Sc in IT,Backend Developer
Candidate_405,15,"C++, IoT",MBA,Frontend Developer
Candidate_406,15,"Angular, TypeScript",B.Tech in CS,Product Manager
Candidate_407,4,"Python, SQL, ML",BCA,Virtual Assistant
Candidate_408,10,"C++, IoT",B.Com,DevOps Engineer
Candidate_409,10,"C++, IoT",B.Sc in IT,Data Scientist
Candidate_410,3,"C++, IoT",B.Sc in IT,Embedded Engineer
Candidate_411,11,"R, Statistics",B.Sc in IT,Backend Developer
Candidate_412,11,"Java, Spring",B.Sc in IT,Backend Developer
Candidate_413,12,"C++, IoT",Diploma in CS,Frontend Developer
Candidate_414,8,"PHP, Laravel",Diploma in CS,Data Analyst
Candidate_415,2,"Angular, TypeScript",B.Com,Product Manager
Candidate_416,3,"Node.js, MongoDB",B.Tech in CS,Data Analyst
Candidate_417,5,"Node.js, MongoDB",M.Tech,Backend Developer
Candidate_418,2,"Python, SQL, ML",Diploma in CS,Backend Developer
Candidate_419,14,"PHP, Laravel",MCA,Data Analyst
Candidate_420,14,"AWS, DevOps",B.Com,Frontend Developer
Candidate_421,2,"PHP, Laravel",B.Com,Data Analyst
Candidate_422,1,"PHP, Laravel",B.Tech in CS,Data Scientist
Candidate_423,3,"Node.js, MongoDB",B.Com,Data Scientist
Candidate_424,5,"Excel, Admin",B.Sc in IT,Data Analyst
Candidate_425,13,"AWS, DevOps",MBA,Embedded Engineer
Candidate_426,5,"R, Statistics",B.Tech in CS,Embedded Engineer
Candidate_427,13,"JavaScript, React",BCA,Backend Developer
Candidate_428,13,"Excel, Admin",B.Tech in CS,Embedded Engineer
